competencia;tp_ocde;chave_ies;co_ies;co_curso;co_municipio;tp_categoria_administrativa;ano_funcionamento;qt_matricula_total;qt_ingresso_total;qt_concluinte_total;qt_vaga_total;qt_inscrito_total
1998;Fisioterapia;296_1998;296;6817;430160;Privada com fins lucrativos;1998;207,0;69,0;22,0;80;215
1998;Medicina;18_1998;18;1518;431440;Privada com fins lucrativos;1998;467,0;81,0;51,0;80;1293
1998;Fisioterapia;387_1998;387;8163;500270;Privada com fins lucrativos;1998;396,0;83,0;0,0;80;459
1998;Medicina;575_1998;575;12970;310620;Pública Federal;1998;1963,0;324,0;339,0;328;7748
1998;Medicina;490_1998;490;9996;330610;Privada com fins lucrativos;1998;450,0;97,0;75,0;80;914
1998;Odontologia;322_1998;322;18363;350600;Privada com fins lucrativos;1998;167,0;100,0;0,0;100;196
1998;Fisioterapia;137_1998;137;4418;350600;Privada com fins lucrativos;1998;300,0;57,0;29,0;50;219
1998;Medicina;149_1998;149;4720;354980;Pública Estadual;1998;393,0;64,0;64,0;64;4741
1998;Medicina;597_1998;597;14615;317010;Pública Federal;1998;460,0;86,0;74,0;80;3933
1998;Medicina;609_1998;609;14725;410480;Pública Estadual;1998;59,0;24,0;0,0;20;1222
1998;Odontologia;609_1998;609;14726;410480;Pública Estadual;1998;60,0;25,0;0,0;20;562
1998;Fisioterapia;83_1998;83;3947;420820;Pública Municipal;1998;177,0;100,0;0,0;84;393
1998;Fisioterapia;756_1998;756;18450;221100;Pública Estadual;1998;0,0;0,0;0,0;0;0
1998;Odontologia;792_1998;792;18166;150140;Privada com fins lucrativos;1998;40,0;80,0;0,0;80;382
1998;Fisioterapia;579_1998;579;13422;250750;Pública Federal;1998;213,0;48,0;24,0;46;639
1998;Odontologia;579_1998;579;13426;250750;Pública Federal;1998;326,0;92,0;78,0;70;990
1998;Fisioterapia;203_1998;203;18343;355030;Privada com fins lucrativos;1998;120,0;117,0;0,0;134;324
1998;Odontologia;322_1998;322;18441;355030;Privada com fins lucrativos;1998;713,0;299,0;102,0;200;5017
1998;Medicina;415_1998;415;8554;355030;Privada com fins lucrativos;1998;603,0;100,0;99,0;100;1017
1998;Odontologia;319_1998;319;7195;355030;Privada com fins lucrativos;1998;461,0;100,0;97,0;100;207
1998;Fisioterapia;55_1998;55;2916;355030;Pública Estadual;1998;0,0;25,0;25,0;25;1296
1998;Fisioterapia;1101_1998;1101;18000;355030;Privada com fins lucrativos;1998;0,0;58,0;0,0;60;96
1998;Fisioterapia;417_1998;417;8576;355030;Privada com fins lucrativos;1998;515,0;120,0;90,0;120;680
1998;Fisioterapia;316_1998;316;18346;355030;Privada com fins lucrativos;1998;229,0;229,0;0,0;235;327
1998;Medicina;579_1998;579;13453;250400;Pública Federal;1998;410,0;84,0;70,0;80;1571
1998;Fisioterapia;472_1998;472;18337;330170;Privada com fins lucrativos;1998;104,0;85,0;0,0;100;89
1998;Fisioterapia;712_1998;712;16170;330455;Privada com fins lucrativos;1998;0,0;138,0;128,0;60;720
1998;Medicina;780_1998;780;18337;510340;Privada com fins lucrativos;1998;107,0;103,0;0,0;100;792
1998;Fisioterapia;780_1998;780;16825;510340;Privada com fins lucrativos;1998;421,0;103,0;49,0;100;207
1998;Odontologia;718_1998;718;18342;240810;Privada com fins lucrativos;1998;138,0;100,0;0,0;96;204
